ID,stacktrace,original_label,label_generated,,,,
50,"[{'exception': 'java.lang.StackOverflowError', 'message': None, 'frames': [{'function': 'com.netbeans.developer.impl.NbKeymap.getKeyStrokesForAction', 'file': 'NbKeymap.java,CompiledCode', 'fileline': None, 'depth': 0}, {'function': 'com.netbeans.ide.awt.Actions.getKeyStrokesForAction', 'file': 'Actions.java,CompiledCode', 'fileline': None, 'depth': 1}, {'function': 'com.netbeans.ide.awt.Actions.updateKey', 'file': 'Actions.java,CompiledCode', 'fileline': None, 'depth': 2}, {'function': 'com.netbeans.ide.awt.Actions$MenuBridge.updateState', 'file': 'Actions.java,CompiledCode', 'fileline': None, 'depth': 3}, {'function': 'com.netbeans.ide.awt.Actions$Bridge.propertyChange', 'file': 'Actions.java,CompiledCode', 'fileline': None, 'depth': 4}, {'function': 'javax.swing.event.SwingPropertyChangeSupport.firePropertyChange', 'file': 'SwingPropertyChangeSupport.java,CompiledCode', 'fileline': None, 'depth': 5}, {'function': 'javax.swing.JComponent.firePropertyChange', 'file': 'JComponent.java,CompiledCode', 'fileline': None, 'depth': 6}, {'function': 'javax.swing.JMenuItem.setAccelerator', 'file': 'JMenuItem.java,CompiledCode', 'fileline': None, 'depth': 7}, {'function': 'com.netbeans.ide.awt.Actions.updateKey', 'file': 'Actions.java,CompiledCode', 'fileline': None, 'depth': 8}, {'function': 'com.netbeans.ide.awt.Actions$MenuBridge.updateState', 'file': 'Actions.java,CompiledCode', 'fileline': None, 'depth': 9}, {'function': 'com.netbeans.ide.awt.Actions$Bridge.propertyChange', 'file': 'Actions.java,CompiledCode', 'fileline': None, 'depth': 10}, {'function': 'javax.swing.event.SwingPropertyChangeSupport.firePropertyChange', 'file': 'SwingPropertyChangeSupport.java,CompiledCode', 'fileline': None, 'depth': 11}, {'function': 'javax.swing.JComponent.firePropertyChange', 'file': 'JComponent.java,CompiledCode', 'fileline': None, 'depth': 12}, {'function': 'javax.swing.JMenuItem.setAccelerator', 'file': 'JMenuItem.java,CompiledCode', 'fileline': None, 'depth': 13}, {'function': 'com.netbeans.ide.awt.Actions.updateKey', 'file': 'Actions.java,CompiledCode', 'fileline': None, 'depth': 14}, {'function': 'com.netbeans.ide.awt.Actions$MenuBridge.updateState', 'file': 'Actions.java,CompiledCode', 'fileline': None, 'depth': 15}, {'function': 'com.netbeans.ide.awt.Actions$Bridge.propertyChange', 'file': 'Actions.java,CompiledCode', 'fileline': None, 'depth': 16}], 'nested': []}]",stackoverflowerror,stackoverflowerror unsupportedencodingexception,,,,
51,"[{'exception': 'java.lang.NullPointerException', 'message': None, 'frames': [{'function': 'java.awt.Container.addImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 0}, {'function': 'java.awt.Container.add', 'file': 'Container.java', 'fileline': 206, 'depth': 1}, {'function': 'com.netbeans.developer.impl.MainWindow.showWindow', 'file': 'MainWindow.java', 'fileline': 125, 'depth': 2}, {'function': 'com.netbeans.developer.impl.Main.main', 'file': 'Main.java', 'fileline': 588, 'depth': 3}, {'function': 'com.netbeans.developer.Main.main', 'file': 'Main.java', 'fileline': 28, 'depth': 4}], 'nested': []}]", nullpointerexception,internalerror nullpointerexception,,,,
52,"[{'exception': 'java.lang.Exception', 'message': 'Stack trace', 'frames': [{'function': 'java.lang.Thread.dumpStack', 'file': 'Thread.java', 'fileline': 983, 'depth': 0}, {'function': 'com.netbeans.developer.modules.loaders.form.JavaCodeGenerator.initialize', 'file': 'JavaCodeGenerator.java', 'fileline': 60, 'depth': 1}, {'function': 'com.netbeans.developer.modules.loaders.form.FormManager.getCodeGenerator', 'file': 'FormManager.java', 'fileline': 134, 'depth': 2}, {'function': 'com.netbeans.developer.modules.loaders.form.FormManager.initialize', 'file': 'FormManager.java', 'fileline': 65, 'depth': 3}, {'function': 'com.netbeans.developer.modules.loaders.form.FormEditorSupport.loadForm', 'file': 'FormEditorSupport.java', 'fileline': 144, 'depth': 4}, {'function': 'com.netbeans.developer.modules.loaders.form.FormEditorSupport.open', 'file': 'FormEditorSupport.java', 'fileline': 69, 'depth': 5}, {'function': 'com.netbeans.ide.actions.OpenAction$1.run', 'file': 'OpenAction.java', 'fileline': 87, 'depth': 6}, {'function': 'com.netbeans.ide.util.Task.run', 'file': 'Task.java', 'fileline': 122, 'depth': 7}, {'function': 'com.netbeans.ide.util.RequestProcessor$ProcessorThread.run', 'file': 'RequestProcessor.java', 'fileline': 378, 'depth': 8}], 'nested': []}]",nullpointerexception, ,,,,
53,"[{'exception': 'java.lang.InstantiationException', 'message': 'com/netbeans/developer/modules/loaders/java/Ja vaDataObject', 'frames': [{'function': 'com.netbeans.ide.modules.ManifestSection$LoaderSection.getLoader', 'file': 'ManifestSection.java', 'fileline': 316, 'depth': 0}, {'function': 'com.netbeans.developer.impl.LoaderPoolNode.add', 'file': 'LoaderPoolNode.java', 'fileline': 166, 'depth': 1}, {'function': 'com.netbeans.developer.impl.ModuleItem$Restore.processLoader', 'file': 'ModuleItem.java', 'fileline': 225, 'depth': 2}, {'function': 'com.netbeans.ide.modules.ManifestSection$LoaderSection.invokeIterator', 'file': 'ManifestSection.java', 'fileline': 349, 'depth': 3}, {'function': 'com.netbeans.ide.modules.ModuleDescription.forEachSection', 'file': 'CompiledCode', 'fileline': None, 'depth': 4}, {'function': 'com.netbeans.developer.impl.ModuleInstaller.initialize', 'file': 'CompiledCode', 'fileline': None, 'depth': 5}, {'function': 'com.netbeans.developer.impl.Main.main', 'file': 'Main.java', 'fileline': 542, 'depth': 6}, {'function': 'com.netbeans.developer.Main.main', 'file': 'Main.java', 'fileline': 28, 'depth': 7}], 'nested': []}]", instantiationexception, instantiationexception,,,,
54,"[{'exception': 'java.io.IOException', 'message': 'stcmd30-list.sh: not found', 'frames': [{'function': 'java.lang.UNIXProcess.forkAndExec', 'file': 'NativeMethod', 'fileline': None, 'depth': 0}, {'function': 'java.lang.UNIXProcess.<init>', 'file': 'UNIXProcess.java', 'fileline': 59, 'depth': 1}, {'function': 'java.lang.Runtime.execInternal', 'file': 'NativeMethod', 'fileline': None, 'depth': 2}, {'function': 'java.lang.Runtime.execInternal', 'file': 'CompiledCode', 'fileline': None, 'depth': 3}, {'function': 'java.lang.Runtime.exec', 'file': 'CompiledCode', 'fileline': None, 'depth': 4}, {'function': 'java.lang.Runtime.exec', 'file': 'CompiledCode', 'fileline': None, 'depth': 5}, {'function': 'java.lang.Runtime.exec', 'file': 'Runtime.java', 'fileline': 153, 'depth': 6}, {'function': 'com.netbeans.enterprise.modules.vcs.cmdline.exec.ExternalCommand.exec', 'file': 'ExternalCommand.java', 'fileline': 111, 'depth': 7}, {'function': 'com.netbeans.enterprise.modules.vcs.cmdline.DirReader.read', 'file': 'DirReader.java', 'fileline': 97, 'depth': 8}, {'function': 'com.netbeans.enterprise.modules.vcs.cmdline.VcsCache.readDir', 'file': 'VcsCache.java', 'fileline': 175, 'depth': 9}, {'function': 'com.netbeans.enterprise.modules.vcs.cmdline.VcsCache.getFilesAndSubdirs', 'file': 'VcsCache.java', 'fileline': 193, 'depth': 10}, {'function': 'com.netbeans.enterprise.modules.vcs.cmdline.CommandLineVcsFileSystem.children', 'file': 'CommandLineVcsFileSystem.java', 'fileline': 346, 'depth': 11}, {'function': 'com.netbeans.ide.filesystems.DefaultAttributes.children', 'file': 'CompiledCode', 'fileline': None, 'depth': 12}, {'function': 'com.netbeans.ide.filesystems.AbstractFileObject.refresh', 'file': 'CompiledCode', 'fileline': None, 'depth': 13}, {'function': 'com.netbeans.ide.filesystems.AbstractFileObject.check', 'file': 'CompiledCode', 'fileline': None, 'depth': 14}, {'function': 'com.netbeans.ide.filesystems.AbstractFileObject.getChildren', 'file': 'CompiledCode', 'fileline': None, 'depth': 15}, {'function': 'com.netbeans.ide.filesystems.FileObject.getChildren', 'file': 'CompiledCode', 'fileline': None, 'depth': 16}, {'function': 'com.netbeans.ide.filesystems.FileObject.getFolders', 'file': 'FileObject.java', 'fileline': 410, 'depth': 17}], 'nested': []}]", ioexception, ioexception,,,,
55,"[{'exception': 'java.lang.NullPointerException', 'message': None, 'frames': [{'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDialogManager.doButtonPressed', 'file': 'PropertyDialogManager.java', 'fileline': 211, 'depth': 0}, {'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDialogManager.access$0', 'file': 'PropertyDialogManager.java', 'fileline': 209, 'depth': 1}, {'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDialogManager$1.actionPerformed', 'file': 'PropertyDialogManager.java', 'fileline': 141, 'depth': 2}, {'function': 'com.netbeans.developer.impl.NbDialog$5.actionPerformed', 'file': 'NbDialog.java', 'fileline': 149, 'depth': 3}, {'function': 'javax.swing.JComponent.processKeyBinding', 'file': 'CompiledCode', 'fileline': None, 'depth': 4}, {'function': 'javax.swing.JComponent.processKeyBindings', 'file': 'CompiledCode', 'fileline': None, 'depth': 5}, {'function': 'javax.swing.JComponent.processKeyEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 6}, {'function': 'java.awt.Component.processEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 7}, {'function': 'java.awt.Container.processEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 8}, {'function': 'java.awt.Component.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 9}, {'function': 'java.awt.Container.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 10}, {'function': 'java.awt.Component.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 11}, {'function': 'java.awt.LightweightDispatcher.processKeyEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 12}, {'function': 'java.awt.LightweightDispatcher.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 13}, {'function': 'java.awt.Container.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 14}, {'function': 'java.awt.Window.dispatchEventImpl', 'file': 'CompiledCode', 'fileline': None, 'depth': 15}, {'function': 'java.awt.Component.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 16}, {'function': 'java.awt.EventQueue.dispatchEvent', 'file': 'CompiledCode', 'fileline': None, 'depth': 17}, {'function': 'java.awt.EventDispatchThread.run', 'file': 'CompiledCode', 'fileline': None, 'depth': 18}], 'nested': []}]", nullpointerexception, nullpointerexception,,,,
56,"[{'exception': 'java.lang.IllegalArgumentException', 'message': None, 'frames': [{'function': 'java.lang.Throwable.fillInStackTrace', 'file': 'NativeMethod', 'fileline': None, 'depth': 0}, {'function': 'java.lang.Throwable.fillInStackTrace', 'file': 'CompiledCode', 'fileline': None, 'depth': 1}, {'function': 'java.lang.Throwable.<init>', 'file': 'CompiledCode', 'fileline': None, 'depth': 2}, {'function': 'java.lang.Exception.<init>', 'file': 'CompiledCode', 'fileline': None, 'depth': 3}, {'function': 'java.lang.RuntimeException.<init>', 'file': 'RuntimeException.java', 'fileline': 37, 'depth': 4}, {'function': 'java.lang.IllegalArgumentException.<init>', 'file': 'IllegalArgumentException.java', 'fileline': 33, 'depth': 5}, {'function': 'com.netbeans.developer.modules.loaders.java.JavaNode$2.setValue', 'file': 'JavaNode.java', 'fileline': 147, 'depth': 6}, {'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDetails.setPropertyValues', 'file': 'CompiledCode', 'fileline': None, 'depth': 7}, {'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDialogManager.cancelValue', 'file': 'PropertyDialogManager.java', 'fileline': 198, 'depth': 8}, {'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDialogManager.doButtonPressed', 'file': 'PropertyDialogManager.java', 'fileline': 212, 'depth': 9}, {'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDialogManager.access$0', 'file': 'PropertyDialogManager.java', 'fileline': 209, 'depth': 10}, {'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDialogManager$1.actionPerformed', 'file': 'PropertyDialogManager.java', 'fileline': 141, 'depth': 11}], 'nested': []}]", illegalargumentexception, illegalargumentexception,,,,
57,"[{'exception': 'java.lang.Exception', 'message': 'Stack trace', 'frames': [{'function': 'java.lang.Thread.dumpStack', 'file': 'Thread.java', 'fileline': 983, 'depth': 0}, {'function': 'com.netbeans.developer.modules.loaders.form.JavaCodeGenerator.initialize', 'file': 'JavaCodeGenerator.java', 'fileline': 60, 'depth': 1}, {'function': 'com.netbeans.developer.modules.loaders.form.FormManager.getCodeGenerator', 'file': 'FormManager.java', 'fileline': 134, 'depth': 2}, {'function': 'com.netbeans.developer.modules.loaders.form.FormManager.initialize', 'file': 'FormManager.java', 'fileline': 65, 'depth': 3}, {'function': 'com.netbeans.developer.modules.loaders.form.FormEditorSupport.loadForm', 'file': 'FormEditorSupport.java', 'fileline': 144, 'depth': 4}, {'function': 'com.netbeans.developer.modules.loaders.form.FormEditorSupport.open', 'file': 'FormEditorSupport.java', 'fileline': 69, 'depth': 5}, {'function': 'com.netbeans.ide.actions.OpenAction$1.run', 'file': 'CompiledCode', 'fileline': None, 'depth': 6}, {'function': 'com.netbeans.ide.util.Task.run', 'file': 'CompiledCode', 'fileline': None, 'depth': 7}, {'function': 'com.netbeans.ide.util.RequestProcessor$ProcessorThread.run', 'file': 'CompiledCode', 'fileline': None, 'depth': 8}], 'nested': []}]",nullpointerexception, ,,,,
58,"[{'exception': 'java.lang.NullPointerException', 'message': None, 'frames': [{'function': 'com.netbeans.developer.modules.loaders.form.FormEditorSupport.loadForm', 'file': 'FormEditorSupport.java', 'fileline': 137, 'depth': 0}, {'function': 'com.netbeans.developer.modules.loaders.form.FormEditorSupport.open', 'file': 'FormEditorSupport.java', 'fileline': 69, 'depth': 1}, {'function': 'com.netbeans.ide.actions.OpenAction$1.run', 'file': 'OpenAction.java', 'fileline': 87, 'depth': 2}, {'function': 'com.netbeans.ide.util.Task.run', 'file': 'Task.java', 'fileline': 122, 'depth': 3}, {'function': 'com.netbeans.ide.util.RequestProcessor$ProcessorThread.run', 'file': 'RequestProcessor.java', 'fileline': 378, 'depth': 4}], 'nested': []}]", nullpointerexception, nullpointerexception,,,,
59,"[{'exception': 'java.lang.NullPointerException', 'message': None, 'frames': [{'function': 'com.netbeans.ide.loaders.MultiDataObject.removeSecondaryEntry', 'file': 'MultiDataObject.java', 'fileline': 152, 'depth': 0}, {'function': 'com.netbeans.ide.loaders.MultiDataObject.removeFile', 'file': 'MultiDataObject.java', 'fileline': 191, 'depth': 1}, {'function': 'com.netbeans.ide.loaders.MultiDataObject$EntryL.fileDeleted', 'file': 'MultiDataObject.java', 'fileline': 583, 'depth': 2}, {'function': 'com.netbeans.ide.util.WeakListener$FileChange.fileDeleted', 'file': 'WeakListener.java', 'fileline': 180, 'depth': 3}, {'function': 'com.netbeans.ide.filesystems.FileObject$4.run', 'file': 'FileObject.java', 'fileline': 273, 'depth': 4}, {'function': 'javax.swing.SystemEventQueueUtilities.processRunnableEvent', 'file': 'SystemEventQueueUtilities.java', 'fileline': 354, 'depth': 5}, {'function': 'javax.swing.SystemEventQueueUtilities.access$0', 'file': 'SystemEventQueueUtilities.java', 'fileline': 350, 'depth': 6}, {'function': 'javax.swing.SystemEventQueueUtilities$RunnableTarget.processEvent', 'file': 'SystemEventQueueUtilities.java', 'fileline': 391, 'depth': 7}, {'function': 'java.awt.Component.dispatchEventImpl', 'file': 'Component.java', 'fileline': 2376, 'depth': 8}, {'function': 'java.awt.Component.dispatchEvent', 'file': 'Component.java', 'fileline': 2289, 'depth': 9}, {'function': 'java.awt.EventQueue.dispatchEvent', 'file': 'EventQueue.java', 'fileline': 258, 'depth': 10}, {'function': 'java.awt.EventDispatchThread.run', 'file': 'EventDispatchThread.java', 'fileline': 68, 'depth': 11}], 'nested': []}]", nullpointerexception, nullpointerexception,,,,
60,"[{'exception': 'java.io.IOException', 'message': None, 'frames': [{'function': 'com.netbeans.ide.filesystems.JarFileSystem.outputStream', 'file': 'JarFileSystem.java', 'fileline': 418, 'depth': 0}, {'function': 'com.netbeans.ide.filesystems.AbstractFileObject.getOutputStream', 'file': 'AbstractFileObject.java', 'fileline': 213, 'depth': 1}, {'function': 'com.netbeans.ide.text.EditorSupport.saveDocument', 'file': 'EditorSupport.java', 'fileline': 314, 'depth': 2}, {'function': 'com.netbeans.developer.modules.loaders.java.JavaEditor.saveDocument', 'file': 'JavaEditor.java', 'fileline': 271, 'depth': 3}, {'function': 'com.netbeans.developer.modules.loaders.java.JavaEditor.saveDocument', 'file': 'JavaEditor.java', 'fileline': 253, 'depth': 4}, {'function': 'com.netbeans.ide.text.EditorSupport$SavingManager.save', 'file': 'EditorSupport.java', 'fileline': 969, 'depth': 5}, {'function': 'com.netbeans.ide.actions.SaveAction.performAction', 'file': 'SaveAction.java', 'fileline': 51, 'depth': 6}, {'function': 'com.netbeans.ide.util.actions.NodeAction.performAction', 'file': 'NodeAction.java', 'fileline': 87, 'depth': 7}, {'function': 'com.netbeans.ide.util.actions.NodeAction.actionPerformed', 'file': 'NodeAction.java', 'fileline': 78, 'depth': 8}, {'function': 'javax.swing.AbstractButton.fireActionPerformed', 'file': 'AbstractButton.java', 'fileline': 1066, 'depth': 9}, {'function': 'javax.swing.AbstractButton$ForwardActionEvents.actionPerformed', 'file': 'AbstractButton.java', 'fileline': 1101, 'depth': 10}, {'function': 'javax.swing.DefaultButtonModel.fireActionPerformed', 'file': 'DefaultButtonModel.java', 'fileline': 378, 'depth': 11}, {'function': 'javax.swing.DefaultButtonModel.setPressed', 'file': 'DefaultButtonModel.java', 'fileline': 250, 'depth': 12}, {'function': 'javax.swing.AbstractButton.doClick', 'file': 'AbstractButton.java', 'fileline': 226, 'depth': 13}, {'function': 'javax.swing.plaf.basic.BasicMenuItemUI$MouseInputHandler.mouseReleased', 'file': 'BasicMenuItemUI.java', 'fileline': 674, 'depth': 14}, {'function': 'java.awt.Component.processMouseEvent', 'file': 'Component.java', 'fileline': 3126, 'depth': 15}, {'function': 'java.awt.Component.processEvent', 'file': 'Component.java', 'fileline': 2965, 'depth': 16}, {'function': 'java.awt.Container.processEvent', 'file': 'Container.java', 'fileline': 987, 'depth': 17}], 'nested': []}]", ioexception,exceptionininitializererror ioexception,,,,
61,"[{'exception': 'java.net.SocketException', 'message': 'Connection reset by peer: JVM_recv in socket input str eam read', 'frames': [{'function': 'java.net.SocketInputStream.socketRead', 'file': 'NativeMethod', 'fileline': None, 'depth': 0}, {'function': 'java.net.SocketInputStream.read', 'file': 'SocketInputStream.java', 'fileline': 90, 'depth': 1}, {'function': 'java.io.BufferedInputStream.fill', 'file': 'BufferedInputStream.java', 'fileline': 190, 'depth': 2}, {'function': 'java.io.BufferedInputStream.read', 'file': 'BufferedInputStream.java', 'fileline': 208, 'depth': 3}, {'function': 'java.io.FilterInputStream.read', 'file': 'FilterInputStream.java', 'fileline': 73, 'depth': 4}, {'function': 'sun.tools.debug.AgentIn.run', 'file': 'AgentIn.java', 'fileline': 54, 'depth': 5}, {'function': 'java.lang.Thread.run', 'file': 'Thread.java', 'fileline': 479, 'depth': 6}], 'nested': []}]", socketexception, classcastexception,,,,
62,"[{'exception': 'java.lang.InstantiationException', 'message': 'com/netbeans/developer/impl/execution/ProcessN ode', 'frames': [{'function': 'com.netbeans.ide.modules.ManifestSection$NodeSection.getNode', 'file': 'ManifestSection.java', 'fileline': 500, 'depth': 0}, {'function': 'com.netbeans.developer.impl.ModuleItem$1.processNode', 'file': 'ModuleItem.java', 'fileline': 269, 'depth': 1}, {'function': 'com.netbeans.ide.modules.ManifestSection$NodeSection.invokeIterator', 'file': 'ManifestSection.java', 'fileline': 515, 'depth': 2}, {'function': 'com.netbeans.ide.modules.ModuleDescription.forEachSection', 'file': 'CompiledCode', 'fileline': None, 'depth': 3}, {'function': 'com.netbeans.developer.impl.ModuleInstaller.initialize', 'file': 'CompiledCode', 'fileline': None, 'depth': 4}, {'function': 'com.netbeans.developer.impl.Main.main', 'file': 'Main.java', 'fileline': 541, 'depth': 5}, {'function': 'com.netbeans.developer.Main.main', 'file': 'Main.java', 'fileline': 28, 'depth': 6}], 'nested': []}]", instantiationexception, instantiationexception,,,,
63,"[{'exception': 'java.lang.InstantiationException', 'message': 'com/netbeans/developer/impl/execution/ProcessN ode', 'frames': [{'function': 'com.netbeans.ide.modules.ManifestSection$NodeSection.getNode', 'file': 'ManifestSection.java', 'fileline': 500, 'depth': 0}, {'function': 'com.netbeans.developer.impl.ModuleItem$1.processNode', 'file': 'ModuleItem.java', 'fileline': 269, 'depth': 1}, {'function': 'com.netbeans.ide.modules.ManifestSection$NodeSection.invokeIterator', 'file': 'ManifestSection.java', 'fileline': 515, 'depth': 2}, {'function': 'com.netbeans.ide.modules.ModuleDescription.forEachSection', 'file': 'CompiledCode', 'fileline': None, 'depth': 3}, {'function': 'com.netbeans.developer.impl.ModuleInstaller.initialize', 'file': 'CompiledCode', 'fileline': None, 'depth': 4}, {'function': 'com.netbeans.developer.impl.Main.main', 'file': 'Main.java', 'fileline': 541, 'depth': 5}, {'function': 'com.netbeans.developer.Main.main', 'file': 'Main.java', 'fileline': 28, 'depth': 6}], 'nested': []}]", instantiationexception, instantiationexception,,,,
64,"[{'exception': 'java.lang.ClassNotFoundException', 'message': 'com.netbeans.enterprise.modules.rmi.RMIExecutor', 'frames': [{'function': 'java.io.ObjectInputStream.readObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 0}, {'function': 'java.io.ObjectInputStream.inputClassFields', 'file': 'CompiledCode', 'fileline': None, 'depth': 1}, {'function': 'java.io.ObjectInputStream.defaultReadObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 2}, {'function': 'java.io.ObjectInputStream.inputObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 3}, {'function': 'java.io.ObjectInputStream.readObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 4}, {'function': 'java.io.ObjectInputStream.readObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 5}, {'function': 'java.util.HashMap.readObject', 'file': 'HashMap.java', 'fileline': 795, 'depth': 6}, {'function': 'java.lang.reflect.Method.invoke', 'file': 'NativeMethod', 'fileline': None, 'depth': 7}, {'function': 'java.io.ObjectInputStream.invokeObjectReader', 'file': 'CompiledCode', 'fileline': None, 'depth': 8}, {'function': 'java.io.ObjectInputStream.inputObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 9}, {'function': 'java.io.ObjectInputStream.readObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 10}, {'function': 'java.io.ObjectInputStream.readObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 11}, {'function': 'java.util.HashMap.readObject', 'file': 'HashMap.java', 'fileline': 795, 'depth': 12}, {'function': 'java.lang.reflect.Method.invoke', 'file': 'NativeMethod', 'fileline': None, 'depth': 13}, {'function': 'java.io.ObjectInputStream.invokeObjectReader', 'file': 'CompiledCode', 'fileline': None, 'depth': 14}, {'function': 'java.io.ObjectInputStream.inputObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 15}, {'function': 'java.io.ObjectInputStream.readObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 16}, {'function': 'java.io.ObjectInputStream.readObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 17}, {'function': 'com.netbeans.ide.filesystems.DefaultAttributes.load', 'file': 'CompiledCode', 'fileline': None, 'depth': 18}, {'function': 'com.netbeans.ide.filesystems.DefaultAttributes.loadTable', 'file': 'CompiledCode', 'fileline': None, 'depth': 19}, {'function': 'com.netbeans.ide.filesystems.DefaultAttributes.readAttribute', 'file': 'CompiledCode', 'fileline': None, 'depth': 20}, {'function': 'com.netbeans.ide.filesystems.AbstractFileObject.getAttribute', 'file': 'CompiledCode', 'fileline': None, 'depth': 21}, {'function': 'com.netbeans.ide.loaders.DataLoaderPool.findDataObject', 'file': 'CompiledCode', 'fileline': None, 'depth': 22}, {'function': 'com.netbeans.ide.loaders.FolderList.createBoth', 'file': 'CompiledCode', 'fileline': None, 'depth': 23}, {'function': 'com.netbeans.ide.loaders.FolderList.getObjects', 'file': 'CompiledCode', 'fileline': None, 'depth': 24}], 'nested': []}]", classnotfoundexception,outofmemoryerror classnotfoundexception,,,,
65,"[{'exception': 'java.lang.NullPointerException', 'message': 'at com.netbeans.ide.explorer.propertysheet.PropertyDialogManager.doButto nPressed(PropertyDialogManager.java:211)', 'frames': [{'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDialogManager.doButtonPressed', 'file': 'PropertyDialogManager.java', 'fileline': 211, 'depth': 0}, {'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDialogManager.access$0', 'file': 'PropertyDialogManager.java', 'fileline': 209, 'depth': 1}, {'function': 'com.netbeans.ide.explorer.propertysheet.PropertyDialogManager$1.actionPerformed', 'file': 'PropertyDialogManager.java', 'fileline': 141, 'depth': 2}, {'function': 'com.netbeans.developer.impl.NbDialog$5.actionPerformed', 'file': 'NbDialog.java', 'fileline': 149, 'depth': 3}, {'function': 'javax.swing.JComponent.processKeyBinding', 'file': 'JComponent.java', 'fileline': 1537, 'depth': 4}, {'function': 'javax.swing.JComponent.processKeyBindings', 'file': 'JComponent.java', 'fileline': 1560, 'depth': 5}, {'function': 'javax.swing.JComponent.processKeyEvent', 'file': 'JComponent.java', 'fileline': 1466, 'depth': 6}, {'function': 'java.awt.Component.processEvent', 'file': 'Component.java', 'fileline': 2974, 'depth': 7}, {'function': 'java.awt.Container.processEvent', 'file': 'Container.java', 'fileline': 987, 'depth': 8}, {'function': 'java.awt.Component.dispatchEventImpl', 'file': 'Component.java', 'fileline': 2376, 'depth': 9}, {'function': 'java.awt.Container.dispatchEventImpl', 'file': 'Container.java', 'fileline': 1032, 'depth': 10}, {'function': 'java.awt.Component.dispatchEvent', 'file': 'Component.java', 'fileline': 2289, 'depth': 11}, {'function': 'java.awt.LightweightDispatcher.processKeyEvent', 'file': 'Container.java', 'fileline': 1671, 'depth': 12}, {'function': 'java.awt.LightweightDispatcher.dispatchEvent', 'file': 'Container.java', 'fileline': 1655, 'depth': 13}, {'function': 'java.awt.Container.dispatchEventImpl', 'file': 'Container.java', 'fileline': 1019, 'depth': 14}, {'function': 'java.awt.Window.dispatchEventImpl', 'file': 'Window.java', 'fileline': 714, 'depth': 15}, {'function': 'java.awt.Component.dispatchEvent', 'file': 'Component.java', 'fileline': 2289, 'depth': 16}, {'function': 'java.awt.EventQueue.dispatchEvent', 'file': 'EventQueue.java', 'fileline': 258, 'depth': 17}, {'function': 'java.awt.EventDispatchThread.run', 'file': 'EventDispatchThread.java', 'fileline': 68, 'depth': 18}], 'nested': []}]", nullpointerexception, nullpointerexception,,,,
